timestamp,version,book,chapter,verse,apparatus_type,content,dry_run
2026-05-17T16:50:26.972871,WLC,1CH,5,27,CHAPTER_BOUNDARY,בְּנֵ֖י לֵוִ֑י גֵּרְשׁ֕וֹן קְהָ֖ת וּמְרָרִֽי׃,True
2026-05-17T16:50:26.973013,WLC,1CH,5,28,CHAPTER_BOUNDARY,וּבְנֵ֖י קְהָ֑ת עַמְרָ֣ם יִצְהָ֔ר וְחֶבְר֖וֹן וְעֻזִּיאֵֽל׃,True
2026-05-17T16:50:26.973125,WLC,1CH,5,29,CHAPTER_BOUNDARY,וּבְנֵ֣י עַמְרָ֔ם אַהֲרֹ֥ן וּמֹשֶׁ֖ה וּמִרְיָ֑ם וּבְנֵ֣י אַהֲרֹ֔ן נָדָב֙ וַאֲבִי,True
2026-05-17T16:50:26.973232,WLC,1CH,5,30,CHAPTER_BOUNDARY,אֶלְעָזָר֙ הוֹלִ֣יד אֶת־ פִּֽינְחָ֔ס פִּֽינְחָ֖ס הֹלִ֥יד אֶת־ אֲבִישֽׁוּעַ׃,True
2026-05-17T16:50:26.973311,WLC,1CH,5,31,CHAPTER_BOUNDARY,וַאֲבִישׁ֙וּעַ֙ הוֹלִ֣יד אֶת־ בֻּקִּ֔י וּבֻקִּ֖י הוֹלִ֥יד אֶת־ עֻזִּֽי׃,True
2026-05-17T16:50:26.973363,WLC,1CH,5,32,CHAPTER_BOUNDARY,וְעֻזִּי֙ הוֹלִ֣יד אֶת־ זְרַֽחְיָ֔ה וּֽזְרַֽחְיָ֖ה הוֹלִ֥יד אֶת־ מְרָיֽוֹת׃,True
2026-05-17T16:50:26.973418,WLC,1CH,5,33,CHAPTER_BOUNDARY,מְרָיוֹת֙ הוֹלִ֣יד אֶת־ אֲמַרְיָ֔ה וַאֲמַרְיָ֖ה הוֹלִ֥יד אֶת־ אֲחִיטֽוּב׃,True
2026-05-17T16:50:26.973471,WLC,1CH,5,34,CHAPTER_BOUNDARY,וַאֲחִיטוּב֙ הוֹלִ֣יד אֶת־ צָד֔וֹק וְצָד֖וֹק הוֹלִ֥יד אֶת־ אֲחִימָֽעַץ׃,True
2026-05-17T16:50:26.973518,WLC,1CH,5,35,CHAPTER_BOUNDARY,וַאֲחִימַ֙עַץ֙ הוֹלִ֣יד אֶת־ עֲזַרְיָ֔ה וַעֲזַרְיָ֖ה הוֹלִ֥יד אֶת־ יוֹחָנָֽן׃,True
2026-05-17T16:50:26.973564,WLC,1CH,5,36,CHAPTER_BOUNDARY,וְיוֹחָנָ֖ן הוֹלִ֣יד אֶת־ עֲזַרְיָ֑ה ה֚וּא אֲשֶׁ֣ר כִּהֵ֔ן בַּבַּ֕יִת אֲשֶׁר־ בּ,True
